"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5970","TestPcibackErrorSuite/TestReportCycleDetected","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","231530","TestBootstrapSuite/TestBootstrapWithStaticIPUsingOverrideJSON","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","1653180","TestSecuritySuite","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","377540","TestSecuritySuite/TestControllerEncryptCertChange","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","183660","TestApplicationConnectivitySuite/TestAirGapSwitchNI","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","223690","TestDeviceConnectivitySuite/TestNetworkConfigFallback","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","0","TestDatastoreSuite/TestAWSDatastore","","2026-09-05","skipped","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","247890","TestBootstrapSuite/TestBootstrapWithTransparentProxy","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","722470","TestControllerFaultsSuite/TestInfoRetriedAfterServerError","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/controllerfaults","github.com/lf-edge/eve/evetest/tests/controllerfaults",""
"","0","TestDatastoreSuite/TestAzureDatastore","","2026-09-05","skipped","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","230460","TestBootstrapSuite/TestBootstrapWithAutoDiscoveredProxy","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","653380","TestDeviceConnectivitySuite/TestIntermittentConnectivity","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","31960","TestTelemetrySuite/TestDeviceLogs","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/telemetry","github.com/lf-edge/eve/evetest/tests/telemetry",""
"","395250","TestApplicationConnectivitySuite/TestSwitchNIWithMultiplePorts","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","440600","TestLPSSuite/TestAppLocalInfo","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","69550","TestTelemetrySuite/TestEmptyConfig","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/telemetry","github.com/lf-edge/eve/evetest/tests/telemetry",""
"","2439650","TestAppsSuite","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","636010","TestDeviceConnectivitySuite/TestLACPBond","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","479370","TestDatastoreSuite","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","297770","TestAppsSuite/TestAppRestart","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","104630","TestApplicationConnectivitySuite/TestApplicationIPv6Connectivity","","2026-09-05","skipped","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","599080","TestApplicationConnectivitySuite/TestNetworkAdapterPassthrough","","2026-09-05","failed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","1650","TestAppsSuite/TestVMAppPurgeReplacesVMIRS","","2026-09-05","skipped","2026-09-05","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","551350","TestSecuritySuite/TestControllerSigningCertChange","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","262260","TestBootstrapSuite/TestBootstrapWithLastResortEnabled","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","598230","TestBootstrapSuite/TestBootstrapWithInstaller","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","354550","TestAppsSuite/TestVNC","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","4196660","TestUpgradeSuite","","2026-09-05","failed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/upgrade","github.com/lf-edge/eve/evetest/tests/upgrade",""
"","137870","TestNodeClusterSuite/TestClusterToSingleConversion","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/cluster","github.com/lf-edge/eve/evetest/tests/cluster",""
"","634650","TestLPSSuite/TestDevLocalInfo","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","2507640","TestLPSSuite","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/lps","github.com/lf-edge/eve/evetest/tests/lps",""
"","635940","TestDiagSuite/TestDiagOutput","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/diag","github.com/lf-edge/eve/evetest/tests/diag",""
"","88330","TestDatastoreSuite/TestHTTPSDatastore","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","311020","TestApplicationConnectivitySuite/TestApplicationGateway","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","338400","TestDeviceConnectivitySuite/TestDHCPIPv4Only","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","1240620","TestStorageSuite/TestVaultZvolTrimReclaimsBlocks","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/storage","github.com/lf-edge/eve/evetest/tests/storage",""
"","5387860","TestNodeClusterSuite","","2026-09-05","failed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/cluster","github.com/lf-edge/eve/evetest/tests/cluster",""
"","518929","TestDeviceConnectivitySuite/TestVLANSubinterfaces","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","235500","TestStorageSuite/TestMountedVolumes","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/storage","github.com/lf-edge/eve/evetest/tests/storage",""
"","248380","TestAppsSuite/TestAppUserData","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","73040","TestDeviceConnectivitySuite/TestStaticIPv4Only","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","45110","TestDatastoreSuite/TestContainerRegistry","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","611970","TestApplicationConnectivitySuite/TestNetworkAdapterPassthroughChange","","2026-09-05","failed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","357780","TestApplicationConnectivitySuite/TestMoveAppBetweenNIs","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","593280","TestSecuritySuite/TestAppArmorEnabled","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","848140","TestAppsSuite/TestVMAppPurgeAfterPowerCycle","","2026-09-05","passed","2026-09-05","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
